Source,Target
6628,ID27416742
6628,ID45055572
6628,ID71517121
6647,ID69464236
6647,ID77535122
6647,ID11348882
6647,ID22218713
6941,ID19069416
6941,ID29922475
6941,ID78620763
6941,ID48782074
6955,ID24350002
6955,ID29922475
6955,ID86764693
6955,ID00818935
7137,ID63548279
7137,ID16201455
7137,ID18903706
7137,ID94200246
7844,ID57978417
7844,ID66256479
7844,ID01453029
7844,ID33730676
7993,ID87110947
7993,ID04753008
7993,ID35052317
7993,ID42160486
7994,ID55943893
7994,ID85268652
7994,ID24739241
7994,ID55674780
8033,ID87110947
8033,ID81804601
8033,ID44548335
8033,ID10495888
8389,ID64870362
8389,ID83204565
8389,ID69549441
8389,ID74262527
8935,ID75451974
8935,ID33227938
8935,ID12979163
8935,ID15215349
8961,ID85268652
8961,ID80873534
8961,ID49728740
8961,ID33595171
8982,ID69464236
8982,ID58420282
8982,ID83443234
8982,ID60563758
8995,ID87110947
8995,ID28804829
8995,ID31398289
8995,ID89318966
9044,ID81773566
9044,ID69508473
9044,ID46835186
9044,ID46123784
9421,ID05261241
9421,ID64870362
9421,ID69549441
9421,ID07308132
9760,ID35776622
9760,ID02058694
9760,ID57220423
9760,ID76118496
9859,ID14497000
9859,ID30245471
9859,ID44938707
9859,ID95495965
10004,ID08950314
10004,ID77060838
10004,ID35096333
10004,ID29095648
10039,ID96173168
10039,ID77347041
10039,ID08045543
10039,ID96721334
10177,ID54943417
10177,ID13614125
10177,ID88444306
10177,ID55420834
10223,ID35494236
10223,ID16077319
10223,ID72846130
10223,ID44462324
10273,ID61657199
10273,ID61057917
10273,ID18832031
10273,ID57286862
10279,ID53557990
10279,ID61657199
10279,ID52458147
10279,ID04893679
10892,ID53714569
10892,ID04686529
10892,ID62633296
10892,ID82572210
11217,ID60547815
11217,ID75451974
11217,ID59784188
11217,ID15237067
11343,ID22601337
11343,ID77509321
11343,ID03990418
11343,ID95990202
11805,ID45907793
11805,ID06938143
11805,ID22117279
11805,ID20892593
11819,ID45907793
